2023-03-12T10:12:26.737+01:00 r=9cf54d709097 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_run.gif status=200 time=5ms
2023-03-12T10:12:26.819+01:00 r=80e9f8984b4c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_commit.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.821+01:00 r=80e9f8984b4c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_commit.gif status=200 time=1ms
2023-03-12T10:12:26.820+01:00 r=d80a7bb3003b ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_refresh.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.821+01:00 r=ee5a57a94706 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_stop.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.822+01:00 r=55bfdc48dda9 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_rollback.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.824+01:00 r=d80a7bb3003b ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_refresh.gif status=200 time=2ms
2023-03-12T10:12:26.828+01:00 r=55bfdc48dda9 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_rollback.gif status=200 time=6ms
2023-03-12T10:12:26.835+01:00 r=ee5a57a94706 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_stop.gif status=200 time=13ms
2023-03-12T10:12:26.839+01:00 r=cf26033b60cd ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tables.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=190ms
